run,key,epsilon,lamb_dfl,c_dfl,lamb_lr,w_dfl,w_lr,trainloss_dfl,trainacc_dfl,traindq_dfl,testloss_dfl,testacc_dfl,testdq_dfl,trainloss_lr,trainacc_lr,traindq_lr,testloss_lr,testacc_lr,testdq_lr
0,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,2.0,10.0,60.28586411219136,0.1024068933751544,1.3375136745525282,0.589,0.091,1.3998883231349877,0.587,0.08,0.6915970674737764,0.661,0.163,0.6918000609540589,0.624,0.117
1,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,0.05,10.0,2372.6509859654384,0.1004792496491099,35.56110029376043,0.601,0.103,39.52847527698218,0.566,0.059,0.6932958857056583,0.487,-0.011,0.6932748375414729,0.481,-0.026
2,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,0.02,10.0,6399.522252861276,0.093234016614489,inf,0.637,0.139,inf,0.633,0.126,0.6933538428073102,0.477,-0.021,0.6931623362437629,0.486,-0.021
3,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,5.0,10.0,27.91559581974912,0.0929245217550181,1.0994541350667997,0.555,0.057,1.1213996069713337,0.56,0.053,0.693436762170396,0.472,-0.026,0.6933095307881749,0.489,-0.018
4,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,0.1,10.0,1129.723683861181,0.0931213272372806,33.58417983775106,0.642,0.144,36.16477652365334,0.615,0.108,0.6927883661774679,0.538,0.04,0.6929311145986026,0.544,0.037
5,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,5.0,10.0,24.85968372363111,0.0973573435187919,0.6870571851524542,0.66,0.162,0.7059195098454215,0.66,0.153,0.6911788223836783,0.654,0.156,0.6915049707031059,0.641,0.134
6,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,0.1,10.0,1468.4127883035703,0.1024324303558179,19.01455900687308,0.61,0.112,18.451503492068493,0.627,0.12,0.6918793156811696,0.678,0.18,0.6918831662085794,0.67,0.163
7,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,0.05,10.0,2352.332951184398,0.0853022191101183,45.89425171836757,0.602,0.104,45.935884515986565,0.615,0.108,0.6924735115847002,0.521,0.023,0.6926721505706941,0.521,0.014
8,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,0.02,10.0,6547.762525825045,0.1012521569594477,inf,0.628,0.13,inf,0.634,0.127,0.6931584364640032,0.516,0.018,0.6931034757931761,0.521,0.014
9,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,0.5,10.0,229.71365902882053,0.108673982877671,4.207745095108623,0.598,0.1,4.313921509704444,0.619,0.112,0.6923591396558595,0.606,0.108,0.6924333814106575,0.59,0.083
10,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,0.05,10.0,2427.1018123403605,0.102101229113946,inf,0.526,0.028,127.86326659134367,0.526,0.019,0.6932323118851023,0.48,-0.018,0.6931767338169166,0.491,-0.016
11,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,0.05,10.0,2353.993222433655,0.0929786233772088,51.66541267052987,0.578,0.08,46.935357780976126,0.599,0.092,0.6930538871697348,0.53,0.032,0.6929914861964732,0.536,0.029
