run,key,epsilon,lamb_dfl,c_dfl,lamb_lr,w_dfl,w_lr,trainloss_dfl,trainacc_dfl,traindq_dfl,testloss_dfl,testacc_dfl,testdq_dfl,trainloss_lr,trainacc_lr,traindq_lr,testloss_lr,testacc_lr,testdq_lr
0,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,1.0,10.0,123.61430058825653,0.1038883033777864,2.8514101864297974,0.601,0.103,2.595584490946245,0.609,0.102,0.6926318676716422,0.568,0.07,0.6929285634392032,0.548,0.041
1,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,0.1,10.0,1146.297360463471,0.0987655131047239,16.719689709195087,0.633,0.135,20.38198195970333,0.606,0.099,0.6944667334037856,0.394,-0.104,0.6944322909215507,0.399,-0.108
2,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,1.0,10.0,118.73571297274692,0.086693125519838,3.466994759208969,0.588,0.09,3.705907353379173,0.589,0.082,0.6928247105288838,0.556,0.058,0.6927965613448904,0.582,0.075
3,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,0.1,10.0,1488.7326359673837,0.1063631115004959,56.70646981258984,0.523,0.025,56.71239453542996,0.519,0.012,0.6921794681270319,0.579,0.081,0.6924188009582082,0.548,0.041
4,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,5.0,10.0,24.65973065195265,0.0834212774585728,0.637197363946652,0.686,0.188,0.687758451448039,0.648,0.141,0.6932802994912052,0.505,0.007,0.6934240460700075,0.5,-0.007
5,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,10.0,10.0,13.51675000070905,0.1124364974000392,0.7687541089935396,0.549,0.051,0.7635069854631085,0.54,0.033,0.6918389236804656,0.656,0.158,0.6917966941017145,0.653,0.146
6,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,5.0,10.0,21.466968581731336,0.0877227488218681,0.7981169612499883,0.616,0.118,0.8243313758927093,0.601,0.094,0.6928289967748432,0.532,0.034,0.6928427091641536,0.552,0.045
7,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,0.2,10.0,545.0605807520251,0.0821598169934202,6.91541473787094,0.624,0.126,6.798991429862204,0.615,0.108,0.6926154666981627,0.545,0.047,0.692594586592686,0.553,0.046
8,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,2.0,10.0,61.2221899871904,0.0984794359822975,1.3520107796570453,0.505,0.007,1.323944413551283,0.535,0.028,0.6925348601186588,0.556,0.058,0.6925712792952359,0.568,0.061
9,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,5.0,10.0,27.146958605195035,0.0952040111940124,0.7632365461313952,0.573,0.075,0.7668090003921555,0.574,0.067,0.6920102407291908,0.604,0.106,0.6919159883800294,0.599,0.092
10,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,1.0,10.0,137.2521338048415,0.0899208503759166,2.5114390533119875,0.645,0.147,2.914774590809861,0.61,0.103,0.6923229603802084,0.576,0.078,0.6923990123618403,0.57,0.063
11,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,2.0,10.0,63.432638607985936,0.1227636946164873,1.1280883058080011,0.629,0.131,1.1262916992797325,0.636,0.129,0.69478787537622,0.298,-0.2,0.6949372766366791,0.292,-0.215
12,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,5.0,10.0,24.698546602326346,0.0999988023816699,0.8224823504599524,0.607,0.109,0.8183486405180956,0.589,0.082,0.6925442743439976,0.555,0.057,0.6927064036890827,0.523,0.016
13,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,0.1,10.0,1314.7639268127025,0.1290778231375801,18.83269153510986,0.662,0.164,21.91596864721707,0.664,0.157,0.6931090727570515,0.499,0.001,0.6931560270019156,0.477,-0.03
14,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,0.2,10.0,547.8753599930179,0.1016470155277535,7.53629584663135,0.673,0.175,6.708466382101257,0.65,0.143,0.691080532541273,0.695,0.197,0.6913435003998245,0.669,0.162
15,eps0.2_lambdfl0.5_lamblr10.0,0.2,0.5,0.2,10.0,640.2521031340349,0.1019488054321222,13.477273967243008,0.536,0.038,13.27567633063163,0.546,0.039,0.6929959778895959,0.504,0.006,0.6930956247940515,0.499,-0.008
