run,key,epsilon,lamb_dfl,c_dfl,lamb_lr,w_dfl,w_lr,trainloss_dfl,trainacc_dfl,traindq_dfl,testloss_dfl,testacc_dfl,testdq_dfl,trainloss_lr,trainacc_lr,traindq_lr,testloss_lr,testacc_lr,testdq_lr
0,eps1.0_lambdfl1.0_lamblr10.0,1.0,1.0,0.5,10.0,23.726737124665693,0.0215857111348304,0.8331523872028906,0.575,0.077,0.8329118486268572,0.574,0.067,0.6926783627119952,0.746,0.248,0.6926878834182225,0.749,0.242
1,eps1.0_lambdfl1.0_lamblr10.0,1.0,1.0,0.01,10.0,1358.1428566298148,0.0207335989416471,42.80830393287732,0.556,0.058,43.5062730645674,0.539,0.032,0.6925079703144706,0.711,0.213,0.6925823710534115,0.669,0.162
2,eps1.0_lambdfl1.0_lamblr10.0,1.0,1.0,0.01,10.0,1491.2090157999603,0.020080967570207,21.874160915148625,0.627,0.129,21.25312698342733,0.618,0.111,0.6927018854698789,0.596,0.098,0.6927530046837095,0.577,0.07
3,eps1.0_lambdfl1.0_lamblr10.0,1.0,1.0,0.01,10.0,1417.7332965334565,0.0190948427308372,29.32234367842294,0.638,0.14,29.05882831492667,0.637,0.13,0.6929576132310286,0.64,0.142,0.6929607611859717,0.64,0.133
4,eps1.0_lambdfl1.0_lamblr10.0,1.0,1.0,1.0,10.0,10.617062552706756,0.0199150913792859,0.658674772282981,0.642,0.144,0.6678596700477245,0.61,0.103,0.6926154281345689,0.552,0.054,0.6926965242897657,0.535,0.028
5,eps1.0_lambdfl1.0_lamblr10.0,1.0,1.0,0.5,10.0,27.027596280152828,0.0185491517483872,0.717932006880135,0.625,0.127,0.7427486765154522,0.631,0.124,0.692598469468694,0.708,0.21,0.6926433350631993,0.682,0.175
6,eps1.0_lambdfl1.0_lamblr10.0,1.0,1.0,0.1,10.0,120.51696519053364,0.0220617782086082,1.7745397239616418,0.664,0.166,1.9697137332700916,0.654,0.147,0.6925624237721936,0.752,0.254,0.6926413374881478,0.735,0.228
7,eps1.0_lambdfl1.0_lamblr10.0,1.0,1.0,1.0,10.0,13.204364728852898,0.0225959538650019,0.6686035022399662,0.611,0.113,0.6657204616709121,0.618,0.111,0.6926410170905313,0.728,0.23,0.6926572362402816,0.72,0.213
8,eps1.0_lambdfl1.0_lamblr10.0,1.0,1.0,0.5,10.0,33.244016760899086,0.0232180504756923,0.8600666659871863,0.61,0.112,0.849185592966235,0.624,0.117,0.6926583243173977,0.551,0.053,0.6927437412605991,0.533,0.026
9,eps1.0_lambdfl1.0_lamblr10.0,1.0,1.0,0.1,10.0,124.77251605712463,0.0217444621570318,4.605522106944773,0.538,0.04,4.719656169426206,0.543,0.036,0.6925482970921242,0.687,0.189,0.6925967858967059,0.647,0.14
